2	6160	34.0	14364
2	6177	38.0	14364
4	3988	74.0	13969
4	1295	86.0	13847
4	1810	72.0	13847
4	153	74.0	13847
4	180	72.0	13847
4	185	73.0	13847
4	99	73.0	13847
4	171	73.0	13817
4	1713	18.0	13817
4	3863	90.0	13786
4	154	79.0	13786
5	197	95.0	14852
5	200	98.0	14821
5	216	94.0	14821
5	13714	97.0	14213
5	3430	97.0	14213
5	1383	97.0	14213
8	357	127.0	13482
9	410	149.0	14943
9	373	158.0	14882
9	8	141.0	14030
9	258	137.0	13999
9	1795	137.0	13999
9	387	137.0	13999
9	518	137.0	13999
9	401	137.0	13999
9	405	137.0	13999
9	1814	137.0	13999
9	2457	137.0	13999
9	3498	137.0	13999
9	701	137.0	13999
9	1602	137.0	13999
9	5573	137.0	13999
9	966	137.0	13999
10	196	165.0	14152
10	199	165.0	13999
11	468	167.0	14609
11	458	167.0	14456
11	471	168.0	14456
12	2449	193.0	15099
12	10825	79.0	15033
12	1670	180.0	15033
12	2436	193.0	15033
12	547	103.0	15005
12	1863	198.0	15005
12	12288	191.0	14974
12	1042	167.0	14974
12	9762	18.0	14974
12	56	187.0	14974
12	67	39.0	14974
12	159	190.0	14974
12	704	84.0	14974
12	3317	167.0	14974
12	2839	109.0	14974
12	1852	183.0	14974
12	327	167.0	14974
12	1375	84.0	14974
12	1377	81.0	14974
12	2927	103.0	14974
12	1455	103.0	14974
12	1475	39.0	14974
12	484	167.0	14974
12	538	109.0	14943
12	544	73.0	14943
12	71	134.0	14943
12	2738	181.0	14943
12	1795	192.0	14943
12	3859	79.0	14943
12	808	194.0	14943
12	300	109.0	14943
12	306	167.0	14943
12	1859	183.0	14943
12	331	167.0	14943
12	333	109.0	14943
12	3928	79.0	14943
12	3931	109.0	14943
12	951	192.0	14943
12	458	167.0	14943
12	464	187.0	14943
12	474	167.0	14943
12	991	81.0	14943
12	1613	103.0	14913
12	89	39.0	14913
12	1673	109.0	14913
12	2940	1.0	14913
12	955	89.0	14913
13	89	235.0	14548
14	552	274.0	15099
14	14453	248.0	14122
14	3458	250.0	14091
14	9865	269.0	14091
14	10762	271.0	14091
14	4494	25.0	14091
14	7329	279.0	14091
14	10402	262.0	14091
14	10404	262.0	14091
14	549	271.0	14091
14	550	267.0	14091
14	1830	254.0	14091
14	14378	271.0	14091
14	557	267.0	14091
14	559	259.0	14091
14	563	254.0	14091
14	1206	262.0	14091
14	3896	251.0	14091
16	5151	321.0	15099
16	13440	321.0	15033
16	2645	292.0	14974
16	2548	130.0	14943
16	5244	78.0	14943
16	11728	134.0	14913
16	5726	296.0	14913
16	4769	130.0	14913
20	11126	342.0	14943
21	796	370.0	14913
21	8166	309.0	14668
21	787	368.0	13482
21	55	372.0	13482
23	72	61.0	14640
23	1062	396.0	14487
23	1089	389.0	14456
23	3523	61.0	14456
23	852	182.0	14456
24	896	81.0	14487
25	292	400.0	14760
25	352	399.0	14729
25	350	404.0	14668
25	325	405.0	14395
26	932	127.0	14425
26	934	413.0	14425
26	922	419.0	14303
27	961	134.0	14974
27	769	442.0	14821
27	423	81.0	14609
28	7152	485.0	14183
28	535	451.0	14183
28	1002	484.0	14152
29	55	366.0	15100
30	907	103.0	13847
31	1028	520.0	15099
31	72	515.0	15099
31	1034	507.0	15099
31	972	520.0	15099
31	1061	508.0	15099
31	1062	513.0	15099
32	1093	523.0	14821
33	1111	537.0	14548
33	4636	32.0	14548
33	1109	536.0	13969
33	188	76.0	13969
35	13217	296.0	15005
35	4356	543.0	15005
35	689	296.0	15005
35	6546	78.0	15005
35	212	292.0	15005
36	497	549.0	14548
37	1	552.0	14060
37	7	555.0	14060
37	8	552.0	14060
37	1929	552.0	14060
37	2698	550.0	14060
37	267	550.0	14060
37	271	550.0	14060
37	276	550.0	14060
